"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Inception Date...4","Inception Month","Inception Year","Obsolete Type","US Category Group","Firm Name","Inception Date...8","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date","Same_Year"
"Carillon Scout International A",TRUE," A","A","A","CSIGX",NA,NA,NA,2017-11-20,11,2017,NA,"International Equity","Carillon Family of Funds",2017-11-20,2020-01-21,949670,"A","No",NA,NA,10181.336,452860.775,418413.779,NA,NA,NA,1.31,1.44,NA,NA
"TIAA-CREF Emerging Markets Debt W",TRUE," W","W","W","TEDVX",NA,NA,NA,2018-09-28,9,2018,NA,"Taxable Bond","TIAA Investments",2018-09-28,2020-01-21,464364704,"Other","No",NA,NA,NA,399969752.754,-6887074.232,NA,NA,NA,0,0,NA,NA
"Invesco Oppenheimer Senior Fl Rt Y{mg}",TRUE," Y{mg}","Y","Y",NA,2019-05-24,5,2019,2019-01-16,1,2019,"Merged","Taxable Bond","Invesco",2019-01-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,1
"Concorde Wealth Management{mg}",TRUE," Management{mg}","Management","Management",NA,2016-07-25,7,2016,2016-07-22,7,2016,"Merged","Allocation","Concorde",2016-07-22,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-22,1
"Goldman Sachs Em Mkts Eq Insghts R6",TRUE," R6","R6","R6","GERUX",NA,NA,NA,2015-07-31,7,2015,NA,"International Equity","Goldman Sachs",2015-07-31,2020-01-21,502195564,"Retirement","No",10007.634,1922547.918,12492570.189,632210175.987,-79629781.099,1.17,1.13,1.13,1.08,1.09,NA,NA
"Lord Abbett Global Equity Research R4",TRUE," R4","R4","R4","LGCSX",NA,NA,NA,2017-01-18,1,2017,NA,"International Equity","Lord Abbett",2017-01-18,2020-01-21,13874,"Retirement","No",NA,NA,10104.365,46.307,23.987,NA,NA,1.05,0.97,0.9,NA,NA
"Goldman Sachs Short-Term Cnsrv Inc Inv",TRUE," Inv","Inv","Investor","GPPOX",NA,NA,NA,2018-08-14,8,2018,NA,"Taxable Bond","Goldman Sachs",2018-08-14,2020-01-21,107515154,"Inv","No",NA,NA,NA,13487158.207,97405689.312,NA,NA,NA,NA,0.3,NA,NA
"American Beacon Sound Point FlRtIn A LW",TRUE," A LW","A","A","SOUAX.lw",2016-11-30,11,2016,2015-12-11,12,2015,"Liquidated","Taxable Bond","American Beacon",2015-12-11,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,2015-12-11,0
"American Funds Inflation Linked Bd R2",TRUE," R2","R2","R2","RILBX",NA,NA,NA,2015-01-23,1,2015,NA,"Taxable Bond","American Funds",2015-01-23,2020-01-21,5699587,"Retirement","No",186241.766,1101464.777,1125132.467,1469015.531,1512634.281,1.58,1.49,1.41,1.41,NA,NA,NA
"Fidelity® Large Cap Stock K6",TRUE," K6","K6","K6","FCLKX",NA,NA,NA,2017-05-25,5,2017,NA,"U.S. Equity","Fidelity Investments",2017-05-25,2019-12-31,89205439,"Other","No",NA,NA,58753435.531,28197007.828,-15616301.885,NA,NA,NA,0.45,0.44,NA,NA
"Neuberger Berman Hedged Option Prm Instl",TRUE," Instl","Instl","Instl",NA,2019-10-29,10,2019,2017-04-12,4,2017,"Liquidated","Alternative","Neuberger Berman",2017-04-12,2019-10-29,6477431,"Inst","No",NA,NA,13419506.624,6827637.428,NA,NA,NA,0.65,0.66,NA,2017-04-12,0
"Advisory Research MLP & Equity C",TRUE," C","C","C",NA,2019-08-26,8,2019,2015-08-31,8,2015,"Liquidated","Sector Equity","Advisory Research",2015-08-31,2019-08-26,763,"C","No",73210.969,203041.395,1105.51,-115579.685,NA,2.1,2.1,2.1,2.1,NA,2015-08-31,0
"Crossmark Steward Cov Call Inc C",TRUE," C","C","C","SCJCX",NA,NA,NA,2017-12-14,12,2017,NA,"Alternative","Crossmark Steward Funds",2017-12-14,2020-01-21,346427,"C","No",NA,NA,10,0.811,336192.957,NA,NA,NA,NA,2,NA,NA
"Principal Real Estate Debt Income R-6",TRUE," R-6","R6","R6",NA,2019-08-23,8,2019,2017-01-03,1,2017,"Liquidated","Taxable Bond","Principal Funds",2017-01-03,2019-08-23,112200551,"Retirement","No",NA,NA,183203662.739,-56434119.361,NA,NA,NA,0.57,0.57,NA,2017-01-03,0
"First Eagle High Yield R3",TRUE," R3","R3","R3","EARHX",NA,NA,NA,2018-05-01,5,2018,NA,"Taxable Bond","First Eagle",2018-05-01,2020-01-21,53413,"Retirement","No",NA,NA,NA,50030.252,229.998,NA,NA,NA,1.27,1.34,NA,NA
"JPMorgan Latin America R6",TRUE," R6","R6","R6",NA,2017-10-13,10,2017,2015-11-02,11,2015,"Liquidated","International Equity","JPMorgan",2015-11-02,2017-10-13,41619,"Retirement","No",41568840.7,-22389212.58,NA,NA,NA,NA,1.05,NA,NA,NA,2015-11-02,0
"AB Asia ex-Japan Equity C",TRUE," C","C","C",NA,2018-04-19,4,2018,2015-12-03,12,2015,"Liquidated","International Equity","AllianceBernstein",2015-12-03,2018-04-19,10976,"C","No",163962,-2.25,48521.634,NA,NA,NA,2.15,2.15,NA,NA,2015-12-03,0
"Ivy Emerging Markets Equity T",TRUE," T","T","T","IPOTX",NA,NA,NA,2017-07-05,7,2017,NA,"International Equity","Ivy Funds",2017-07-05,2019-12-31,286133,"T","No",NA,NA,268707.061,-1745.948,-2206.52,NA,NA,NA,1.2,1.2,NA,NA
"Caravan Frontier Markets Opp Instl",TRUE," Instl","Instl","Instl",NA,2019-10-01,10,2019,2017-11-14,11,2017,"Merged","International Equity","Caravan",2017-11-14,2019-09-30,1127147,"Inst","No",NA,NA,888369.446,647495.684,NA,NA,NA,NA,1.6,NA,2017-11-14,0
"F/m Investments Eurp L/S Sm Cap Inv",TRUE," Inv","Inv","Investor","BESRX",NA,NA,NA,2015-12-30,12,2015,NA,"Alternative","Balter",2015-12-30,2020-01-21,1377307,"Inv","No",10,-0.444,562657.408,884317.749,167990.443,NA,2.75,2.76,4.03,3.63,NA,NA
"Principal Edge MidCap Institutional",TRUE," Institutional","Institutional","Instl","PEDGX",NA,NA,NA,2015-09-28,9,2015,NA,"U.S. Equity","Principal Funds",2015-09-28,2020-01-21,46627401,"Inst","No",155638062.778,91882535.972,-305403631.742,11079435.094,18681289.405,NA,0.79,0.78,0.9,0.82,NA,NA
"James Alpha Macro Portfolio S",TRUE," S","S","S","GRRSX",NA,NA,NA,2017-08-17,8,2017,NA,"Alternative","James Alpha Advisors",2017-08-17,2020-01-21,3544141,"S","No",NA,NA,2186886.9,1855395.596,-684400.987,NA,NA,1.25,1.3,1.2,NA,NA
"James Alpha Yorkville MLP Portfolio S",TRUE," S","S","S",NA,2019-09-30,9,2019,2017-05-29,5,2017,"Liquidated","Sector Equity","James Alpha Advisors",2017-05-29,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-29,0
"DWS RREEF Real Estate Securities T",TRUE," T","T","T","RRRTX",NA,NA,NA,2017-06-05,6,2017,NA,"Sector Equity","DWS",2017-06-05,2020-01-21,13327,"T","No",NA,NA,-7495392.213,76.082,162.598,NA,NA,0.94,0.88,NA,NA,NA
"Pacific Funds Small/Mid-Cap Investor",TRUE," Investor","Investor","Investor",NA,2018-07-31,7,2018,2016-01-11,1,2016,"Merged","U.S. Equity","Pacific Funds Series Trust",2016-01-11,2018-07-31,5349103,"Inv","No",NA,3857616.904,2862853.909,NA,NA,NA,1.35,1.35,1.35,NA,2016-01-11,0
"Hancock Horizon Microcap C",TRUE," C","C","C",NA,2019-05-28,5,2019,2015-05-29,5,2015,"Merged","U.S. Equity","Hancock Horizon",2015-05-29,2019-05-24,28113,"C","No",55368.231,-18504.473,5301.999,-3152.25,NA,NA,2.5,2.5,2.5,2.5,2015-05-29,0
"Russell Inv Multifactor Bond Y",TRUE," Y","Y","Y","RMHYX",NA,NA,NA,2019-11-13,11,2019,NA,"Taxable Bond","Russell",2019-11-13,2020-01-21,114475970,"Inst","No",NA,NA,NA,NA,114195004,NA,NA,NA,NA,NA,NA,NA
"JPMorgan Income Builder R6",TRUE," R6","R6","R6","JNBZX",NA,NA,NA,2017-11-01,11,2017,NA,"Allocation","JPMorgan",2017-11-01,2020-01-21,423324745,"Retirement","No",NA,NA,63188.09,229448718.704,163343270.41,NA,NA,NA,0.5,0.51,NA,NA
"Buffalo Large Cap Institutional",TRUE," Institutional","Institutional","Instl","BUIEX",NA,NA,NA,2019-07-01,7,2019,NA,"U.S. Equity","Buffalo",2019-07-01,2020-01-21,55627274,"Inst","No",NA,NA,NA,NA,50478714.592,NA,NA,NA,NA,NA,NA,NA
"Westwood SmallCap A",TRUE," A","A","A","WHGAX",NA,NA,NA,2019-09-03,9,2019,NA,"U.S. Equity","Westwood",2019-09-03,2020-01-21,207742,"A","No",NA,NA,NA,NA,201755.092,NA,NA,NA,NA,1.08,NA,NA
"AB Impact Municipal Income",TRUE," Income","Income","Income","ABIMX",NA,NA,NA,2017-09-12,9,2017,NA,"Municipal Bond","AllianceBernstein",2017-09-12,2020-01-21,201016901,"Inst","No",NA,NA,21559458.779,82915831.445,74250399.878,NA,NA,NA,0,0,NA,NA
"Nationwide AllianzGI International Gr R6",TRUE," R6","R6","R6","NWAHX",NA,NA,NA,2015-02-02,2,2015,NA,"International Equity","Nationwide",2015-02-02,2020-01-21,435181,"Inst","No",3048972.314,25075210.649,-15284421.537,7684638.303,-25848343.496,0.95,0.95,0.87,0.8,0.72,NA,NA
