"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Obsolete Type","US Category Group","Firm Name","Inception Date","Inception Month","Inception Year","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date...4","Inception Date...8","Same_Year"
"1290 Convertible Securities A LW",TRUE," A LW","A","A","TNFAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","1290 Funds",2015-07-06,7,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 DoubleLine Dynamic Allocation A LW",TRUE," A LW","A","A","TNXAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","1290 Funds",2016-03-07,3,2016,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-07,2016-03-07,1
"1290 GAMCO Small/Mid Cap Value A LW",TRUE," A LW","A","A","TNVAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","1290 Funds",2014-11-12,11,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA
"1290 Global Equity Managers A",TRUE," A","A","A",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,2016-07-18,93739,"A","No",104685.92,NA,NA,NA,NA,1.4,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Equity Managers A LW",TRUE," A LW","A","A",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Equity Managers C",TRUE," C","C","C",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-10-30,10,2015,NA,NA,"C","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-10-30,2015-10-30,0
"1290 Global Equity Managers I",TRUE," I","I","Instl",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,2016-07-18,26524361,"Inst","No",29757335.279,NA,NA,NA,NA,1.15,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Equity Managers R",TRUE," R","R","R",NA,2016-07-18,7,2016,"Liquidated","International Equity","1290 Funds",2015-07-06,7,2015,2016-07-18,89060,"Retirement","No",100002.388,NA,NA,NA,NA,1.65,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"1290 Global Talents A Load Waived",TRUE," A Load Waived","A","A","TNYAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","1290 Funds",2016-04-11,4,2016,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-11,2016-04-11,1
"1290 High Yield Bond A Load Waived",TRUE," A Load Waived","A","A","TNHAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","1290 Funds",2014-11-12,11,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA
"1290 SmartBeta Equity A Load Waived",TRUE," A Load Waived","A","A","TNBAX.lw",2016-11-30,11,2016,"Liquidated","International Equity","1290 Funds",2014-11-12,11,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA
"1290 Unconstrained Bond Managers A LW",TRUE," A LW","A","A","TNUAX.lw",2016-11-30,11,2016,"Liquidated","Taxable Bond","1290 Funds",2015-07-06,7,2015,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,2015-07-06,2015-07-06,0
"13D Activist A Load Waived",TRUE," A Load Waived","A","A","DDDAX.lw",2016-11-30,11,2016,"Liquidated","U.S. Equity","13D Activist Fund",2011-12-28,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA
"1492 Small Cap Core Alpha",TRUE," Alpha","Alpha","Alpha",NA,2016-02-26,2,2016,"Liquidated","U.S. Equity","1492 Capital Management, LLC",2011-12-29,12,2011,2016-02-26,508864,"Other","No",149738.219,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA
"1789 Growth and Income A",TRUE," A","A","A",NA,2017-06-28,6,2017,"Merged","Allocation","Pinnacle Capital Management",2013-08-26,8,2013,2017-06-28,1935553,"A","No",707690.402,406705.291,NA,NA,NA,1.26,1.26,NA,NA,NA,NA,NA,NA
"1789 Growth and Income A Load Waived",TRUE," A Load Waived","A","A",NA,2016-11-30,11,2016,"Liquidated","Allocation","Pinnacle Capital Management",2013-08-26,8,2013,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA
"1919 Financial Services A Load Waived",TRUE," A Load Waived","A","A","SBFAX.lw",2016-11-30,11,2016,"Liquidated","Sector Equity","1919 Funds",1998-11-16,11,1998,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA
"1919 Maryland Tax-Free Income A LW",TRUE," A LW","A","A","LMMDX.lw",2016-11-30,11,2016,"Liquidated","Municipal Bond","1919 Funds",1991-04-30,4,1991,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
"1919 Socially Responsive Balanced A LW",TRUE," A LW","A","A","SSIAX.lw",2016-11-30,11,2016,"Liquidated","Allocation","1919 Funds",1992-11-06,11,1992,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA
"1919 Socially Responsive Balanced B",TRUE," B","B","B",NA,2019-07-05,7,2019,"Merged","Allocation","1919 Funds",1987-01-30,1,1987,2019-07-03,290674,"B","No",-1388421.453,-1048835.314,-915144.123,-465616.906,NA,1.83,2.39,2.16,2,NA,NA,NA,NA
"361 Global Equity Absolute Return I",TRUE," I","I","Instl",NA,2019-10-18,10,2019,"Liquidated","Alternative","361 Funds",2018-12-31,12,2018,2019-10-18,40645,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,2018-12-31,0
"361 Global Equity Absolute Return Inv",TRUE," Inv","Inv","Investor",NA,2019-10-18,10,2019,"Liquidated","Alternative","361 Funds",2018-12-31,12,2018,2019-10-18,18160,"Inv","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,2018-12-31,0
"361 Global Equity Absolute Return Y",TRUE," Y","Y","Y",NA,2019-10-18,10,2019,"Liquidated","Alternative","361 Funds",2018-12-31,12,2018,2019-10-18,939630,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-12-31,2018-12-31,0
"361 Global Managed Futures Strategy I LW",TRUE," I LW","I","Instl","AGFQX.lw",2016-11-30,11,2016,"Liquidated","Alternative","361 Funds",2014-02-12,2,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA,NA
"361 Macro Opportunity Inv Load Waived",TRUE," Inv Load Waived","Inv","Investor","AGMQX.lw",2016-11-30,11,2016,"Liquidated","Alternative","361 Funds",2014-06-30,6,2014,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA
"361 Managed Futures Strategy Inv LW",TRUE," Inv LW","Inv","Investor","AMFQX.lw",2016-11-30,11,2016,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA
"361 Market Neutral I",TRUE," I","I","Instl","ALSZX",2015-05-29,5,2015,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,2015-05-29,305214,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361 Market Neutral Inv",TRUE," Inv","Inv","Investor","ALSQX",2015-05-29,5,2015,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,2015-05-29,56739,"Inv","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361 Market Neutral Inv Load Waived",TRUE," Inv Load Waived","Inv","Investor","ALSQX.lw",2015-05-29,5,2015,"Liquidated","Alternative","361 Funds",2011-12-20,12,2011,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3D Printing, Robotics and Tech A",TRUE," A","A","A",NA,2015-11-13,11,2015,"Liquidated","Sector Equity","3D Printing Fund",2015-12-31,12,2015,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-31,2015-12-31,1
"3D Printing, Robotics and Tech C",TRUE," C","C","C",NA,2015-11-13,11,2015,"Liquidated","Sector Equity","3D Printing Fund",2015-12-31,12,2015,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-31,2015-12-31,1
